Programme Type,Academic Year,Academic Year (copy),Age Group,Course Level,Gender (group),ISCED Broad Field of Study,Mode,New Entrant?,Gender,Asterisk
PhD,2018/2019,2018/2019,24+,Postgraduate,Male,Information and Communication Technologies (ICTs),Full-time,No,Male,*
PhD,2018/2019,2018/2019,24+,Postgraduate,Male,Information and Communication Technologies (ICTs),Full-time,No,Male,*
PhD,2018/2019,2018/2019,24+,Postgraduate,Male,Information and Communication Technologies (ICTs),Full-time,No,Male,*
PhD,2018/2019,2018/2019,24+,Postgraduate,Male,Information and Communication Technologies (ICTs),Full-time,No,Male,*
PhD,2018/2019,2018/2019,24+,Postgraduate,Male,Information and Communication Technologies (ICTs),Full-time,No,Male,*
PhD,2018/2019,2018/2019,24+,Postgraduate,Male,Information and Communication Technologies (ICTs),Full-time,No,Male,*
PhD,2018/2019,2018/2019,24+,Postgraduate,Male,Information and Communication Technologies (ICTs),Full-time,No,Male,*
PhD,2018/2019,2018/2019,24+,Postgraduate,Male,Information and Communication Technologies (ICTs),Full-time,No,Male,*
PhD,2018/2019,2018/2019,24+,Postgraduate,Male,Information and Communication Technologies (ICTs),Full-time,No,Male,*
PhD,2018/2019,2018/2019,24+,Postgraduate,Male,Information and Communication Technologies (ICTs),Full-time,No,Male,*
PhD,2018/2019,2018/2019,24+,Postgraduate,Male,Information and Communication Technologies (ICTs),Full-time,No,Male,*
PhD,2018/2019,2018/2019,24+,Postgraduate,Male,Information and Communication Technologies (ICTs),Full-time,No,Male,*
PhD,2018/2019,2018/2019,24+,Postgraduate,Male,Information and Communication Technologies (ICTs),Full-time,No,Male,*
PhD,2018/2019,2018/2019,24+,Postgraduate,Male,Information and Communication Technologies (ICTs),Full-time,No,Male,*
PhD,2018/2019,2018/2019,24+,Postgraduate,Male,Information and Communication Technologies (ICTs),Full-time,No,Male,*
PhD,2018/2019,2018/2019,24+,Postgraduate,Male,Information and Communication Technologies (ICTs),Full-time,No,Male,*
PhD,2018/2019,2018/2019,24+,Postgraduate,Male,Information and Communication Technologies (ICTs),Full-time,No,Male,*
PhD,2018/2019,2018/2019,24+,Postgraduate,Male,Information and Communication Technologies (ICTs),Full-time,No,Male,*
PhD,2018/2019,2018/2019,24+,Postgraduate,Male,Information and Communication Technologies (ICTs),Full-time,No,Male,*
PhD,2018/2019,2018/2019,24+,Postgraduate,Male,Information and Communication Technologies (ICTs),Full-time,No,Male,*
PhD,2018/2019,2018/2019,24+,Postgraduate,Male,Information and Communication Technologies (ICTs),Full-time,No,Male,*
PhD,2018/2019,2018/2019,24+,Postgraduate,Male,"Natural sciences, mathematics and statistics",Full-time,No,Male,*
PhD,2018/2019,2018/2019,24+,Postgraduate,Male,"Natural sciences, mathematics and statistics",Full-time,No,Male,*
PhD,2018/2019,2018/2019,24+,Postgraduate,Male,"Natural sciences, mathematics and statistics",Full-time,No,Male,*
PhD,2018/2019,2018/2019,24+,Postgraduate,Male,"Natural sciences, mathematics and statistics",Full-time,No,Male,*
PhD,2018/2019,2018/2019,24+,Postgraduate,Male,"Natural sciences, mathematics and statistics",Full-time,No,Male,*
PhD,2018/2019,2018/2019,24+,Postgraduate,Male,"Natural sciences, mathematics and statistics",Full-time,No,Male,*
PhD,2018/2019,2018/2019,24+,Postgraduate,Male,"Natural sciences, mathematics and statistics",Full-time,No,Male,*
PhD,2018/2019,2018/2019,24+,Postgraduate,Male,"Natural sciences, mathematics and statistics",Full-time,No,Male,*
PhD,2018/2019,2018/2019,24+,Postgraduate,Male,"Natural sciences, mathematics and statistics",Full-time,No,Male,*
PhD,2018/2019,2018/2019,24+,Postgraduate,Male,"Natural sciences, mathematics and statistics",Full-time,No,Male,*
PhD,2018/2019,2018/2019,24+,Postgraduate,Male,"Natural sciences, mathematics and statistics",Full-time,No,Male,*
PhD,2018/2019,2018/2019,24+,Postgraduate,Male,"Natural sciences, mathematics and statistics",Full-time,No,Male,*
PhD,2018/2019,2018/2019,24+,Postgraduate,Male,"Natural sciences, mathematics and statistics",Full-time,No,Male,*
PhD,2018/2019,2018/2019,24+,Postgraduate,Male,"Natural sciences, mathematics and statistics",Full-time,No,Male,*
PhD,2018/2019,2018/2019,24+,Postgraduate,Male,"Natural sciences, mathematics and statistics",Full-time,No,Male,*
PhD,2018/2019,2018/2019,24+,Postgraduate,Male,"Natural sciences, mathematics and statistics",Full-time,No,Male,*
PhD,2018/2019,2018/2019,24+,Postgraduate,Male,"Natural sciences, mathematics and statistics",Full-time,No,Male,*
PhD,2018/2019,2018/2019,24+,Postgraduate,Male,"Natural sciences, mathematics and statistics",Full-time,No,Male,*
PhD,2018/2019,2018/2019,24+,Postgraduate,Male,"Natural sciences, mathematics and statistics",Full-time,No,Male,*
PhD,2018/2019,2018/2019,24+,Postgraduate,Male,"Natural sciences, mathematics and statistics",Full-time,No,Male,*
PhD,2018/2019,2018/2019,24+,Postgraduate,Male,"Natural sciences, mathematics and statistics",Full-time,No,Male,*
PhD,2018/2019,2018/2019,24+,Postgraduate,Male,"Natural sciences, mathematics and statistics",Full-time,No,Male,*
PhD,2018/2019,2018/2019,24+,Postgraduate,Male,"Natural sciences, mathematics and statistics",Full-time,No,Male,*
PhD,2018/2019,2018/2019,24+,Postgraduate,Male,"Natural sciences, mathematics and statistics",Full-time,No,Male,*
PhD,2018/2019,2018/2019,24+,Postgraduate,Male,"Natural sciences, mathematics and statistics",Full-time,No,Male,*
PhD,2018/2019,2018/2019,24+,Postgraduate,Male,"Natural sciences, mathematics and statistics",Full-time,No,Male,*
PhD,2018/2019,2018/2019,24+,Postgraduate,Male,"Natural sciences, mathematics and statistics",Full-time,No,Male,*
PhD,2018/2019,2018/2019,24+,Postgraduate,Male,"Natural sciences, mathematics and statistics",Full-time,No,Male,*
PhD,2018/2019,2018/2019,24+,Postgraduate,Male,"Natural sciences, mathematics and statistics",Full-time,No,Male,*
PhD,2018/2019,2018/2019,24+,Postgraduate,Male,"Natural sciences, mathematics and statistics",Full-time,No,Male,*
PhD,2018/2019,2018/2019,24+,Postgraduate,Male,"Natural sciences, mathematics and statistics",Full-time,No,Male,*
PhD,2018/2019,2018/2019,24+,Postgraduate,Male,"Natural sciences, mathematics and statistics",Full-time,No,Male,*
PhD,2018/2019,2018/2019,24+,Postgraduate,Male,"Natural sciences, mathematics and statistics",Full-time,No,Male,*
PhD,2018/2019,2018/2019,24+,Postgraduate,Male,"Natural sciences, mathematics and statistics",Full-time,No,Male,*
PhD,2018/2019,2018/2019,24+,Postgraduate,Male,"Natural sciences, mathematics and statistics",Full-time,No,Male,*
PhD,2018/2019,2018/2019,24+,Postgraduate,Male,"Natural sciences, mathematics and statistics",Full-time,No,Male,*
PhD,2018/2019,2018/2019,24+,Postgraduate,Male,"Natural sciences, mathematics and statistics",Full-time,No,Male,*
PhD,2018/2019,2018/2019,24+,Postgraduate,Male,"Natural sciences, mathematics and statistics",Full-time,No,Male,*
PhD,2018/2019,2018/2019,24+,Postgraduate,Male,"Natural sciences, mathematics and statistics",Full-time,No,Male,*
PhD,2018/2019,2018/2019,24+,Postgraduate,Male,"Natural sciences, mathematics and statistics",Full-time,No,Male,*
PhD,2018/2019,2018/2019,24+,Postgraduate,Male,"Natural sciences, mathematics and statistics",Full-time,No,Male,*
PhD,2018/2019,2018/2019,24+,Postgraduate,Male,"Natural sciences, mathematics and statistics",Full-time,No,Male,*
PhD,2018/2019,2018/2019,24+,Postgraduate,Male,"Natural sciences, mathematics and statistics",Full-time,No,Male,*
PhD,2018/2019,2018/2019,24+,Postgraduate,Male,"Natural sciences, mathematics and statistics",Full-time,No,Male,*
PhD,2018/2019,2018/2019,24+,Postgraduate,Male,"Natural sciences, mathematics and statistics",Full-time,No,Male,*
PhD,2018/2019,2018/2019,24+,Postgraduate,Male,"Natural sciences, mathematics and statistics",Full-time,No,Male,*
PhD,2018/2019,2018/2019,24+,Postgraduate,Male,"Natural sciences, mathematics and statistics",Full-time,No,Male,*
PhD,2018/2019,2018/2019,24+,Postgraduate,Male,"Natural sciences, mathematics and statistics",Full-time,No,Male,*
PhD,2018/2019,2018/2019,24+,Postgraduate,Male,"Natural sciences, mathematics and statistics",Full-time,No,Male,*
PhD,2018/2019,2018/2019,24+,Postgraduate,Male,"Natural sciences, mathematics and statistics",Full-time,No,Male,*
PhD,2018/2019,2018/2019,24+,Postgraduate,Male,"Natural sciences, mathematics and statistics",Full-time,No,Male,*
PhD,2018/2019,2018/2019,24+,Postgraduate,Male,"Natural sciences, mathematics and statistics",Full-time,No,Male,*
PhD,2018/2019,2018/2019,24+,Postgraduate,Male,"Natural sciences, mathematics and statistics",Full-time,No,Male,*
PhD,2018/2019,2018/2019,24+,Postgraduate,Male,"Natural sciences, mathematics and statistics",Full-time,No,Male,*
PhD,2018/2019,2018/2019,24+,Postgraduate,Male,"Natural sciences, mathematics and statistics",Full-time,No,Male,*
PhD,2018/2019,2018/2019,24+,Postgraduate,Male,"Natural sciences, mathematics and statistics",Full-time,No,Male,*
PhD,2018/2019,2018/2019,24+,Postgraduate,Male,"Natural sciences, mathematics and statistics",Full-time,No,Male,*
PhD,2018/2019,2018/2019,24+,Postgraduate,Male,"Natural sciences, mathematics and statistics",Full-time,No,Male,*
PhD,2018/2019,2018/2019,24+,Postgraduate,Male,"Natural sciences, mathematics and statistics",Full-time,No,Male,*
PhD,2018/2019,2018/2019,24+,Postgraduate,Male,"Natural sciences, mathematics and statistics",Full-time,No,Male,*
PhD,2018/2019,2018/2019,24+,Postgraduate,Male,"Natural sciences, mathematics and statistics",Full-time,No,Male,*
PhD,2018/2019,2018/2019,24+,Postgraduate,Male,"Natural sciences, mathematics and statistics",Full-time,No,Male,*
PhD,2018/2019,2018/2019,24+,Postgraduate,Male,"Natural sciences, mathematics and statistics",Full-time,No,Male,*
PhD,2018/2019,2018/2019,24+,Postgraduate,Male,"Natural sciences, mathematics and statistics",Full-time,No,Male,*
PhD,2018/2019,2018/2019,24+,Postgraduate,Male,"Natural sciences, mathematics and statistics",Full-time,No,Male,*
PhD,2018/2019,2018/2019,24+,Postgraduate,Male,"Natural sciences, mathematics and statistics",Full-time,No,Male,*
PhD,2018/2019,2018/2019,24+,Postgraduate,Male,"Natural sciences, mathematics and statistics",Full-time,No,Male,*
PhD,2018/2019,2018/2019,24+,Postgraduate,Male,"Natural sciences, mathematics and statistics",Full-time,No,Male,*
PhD,2018/2019,2018/2019,24+,Postgraduate,Male,"Natural sciences, mathematics and statistics",Full-time,No,Male,*
PhD,2018/2019,2018/2019,24+,Postgraduate,Male,"Natural sciences, mathematics and statistics",Full-time,No,Male,*
PhD,2018/2019,2018/2019,24+,Postgraduate,Male,"Natural sciences, mathematics and statistics",Full-time,No,Male,*
PhD,2018/2019,2018/2019,24+,Postgraduate,Male,"Natural sciences, mathematics and statistics",Full-time,No,Male,*
PhD,2018/2019,2018/2019,24+,Postgraduate,Male,"Natural sciences, mathematics and statistics",Full-time,No,Male,*
PhD,2018/2019,2018/2019,24+,Postgraduate,Male,"Natural sciences, mathematics and statistics",Full-time,No,Male,*
PhD,2018/2019,2018/2019,24+,Postgraduate,Male,"Natural sciences, mathematics and statistics",Full-time,No,Male,*
PhD,2018/2019,2018/2019,24+,Postgraduate,Male,"Natural sciences, mathematics and statistics",Full-time,No,Male,*
PhD,2018/2019,2018/2019,24+,Postgraduate,Male,"Natural sciences, mathematics and statistics",Full-time,No,Male,*
PhD,2018/2019,2018/2019,24+,Postgraduate,Male,"Natural sciences, mathematics and statistics",Full-time,No,Male,*
PhD,2018/2019,2018/2019,24+,Postgraduate,Male,"Natural sciences, mathematics and statistics",Full-time,No,Male,*
PhD,2018/2019,2018/2019,24+,Postgraduate,Male,"Natural sciences, mathematics and statistics",Full-time,No,Male,*
PhD,2018/2019,2018/2019,24+,Postgraduate,Male,"Natural sciences, mathematics and statistics",Full-time,No,Male,*
PhD,2018/2019,2018/2019,24+,Postgraduate,Male,"Natural sciences, mathematics and statistics",Full-time,No,Male,*
PhD,2018/2019,2018/2019,24+,Postgraduate,Male,"Natural sciences, mathematics and statistics",Full-time,No,Male,*
PhD,2018/2019,2018/2019,24+,Postgraduate,Male,"Natural sciences, mathematics and statistics",Full-time,No,Male,*
PhD,2018/2019,2018/2019,24+,Postgraduate,Male,"Natural sciences, mathematics and statistics",Full-time,No,Male,*
PhD,2018/2019,2018/2019,24+,Postgraduate,Male,"Natural sciences, mathematics and statistics",Full-time,No,Male,*
PhD,2018/2019,2018/2019,24+,Postgraduate,Male,"Natural sciences, mathematics and statistics",Full-time,No,Male,*
PhD,2018/2019,2018/2019,24+,Postgraduate,Male,"Natural sciences, mathematics and statistics",Full-time,No,Male,*
PhD,2018/2019,2018/2019,24+,Postgraduate,Male,"Natural sciences, mathematics and statistics",Full-time,No,Male,*
PhD,2018/2019,2018/2019,24+,Postgraduate,Male,"Natural sciences, mathematics and statistics",Full-time,No,Male,*
PhD,2018/2019,2018/2019,24+,Postgraduate,Male,"Natural sciences, mathematics and statistics",Full-time,No,Male,*
PhD,2018/2019,2018/2019,24+,Postgraduate,Male,"Natural sciences, mathematics and statistics",Full-time,No,Male,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,"Business, administration and law",Full-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,"Business, administration and law",Full-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,"Business, administration and law",Full-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,"Business, administration and law",Full-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,"Business, administration and law",Full-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,"Business, administration and law",Full-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,"Business, administration and law",Full-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,"Business, administration and law",Full-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,"Business, administration and law",Full-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,"Business, administration and law",Full-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,"Business, administration and law",Full-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,"Business, administration and law",Full-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,"Business, administration and law",Full-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,"Business, administration and law",Full-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,"Business, administration and law",Full-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,"Business, administration and law",Full-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,"Business, administration and law",Full-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,Education,Full-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,Education,Full-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,Education,Full-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,Education,Full-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,Education,Full-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,Education,Full-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,Education,Full-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,Education,Full-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,Education,Full-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,Education,Full-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,Education,Full-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,Education,Full-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,Education,Full-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,Education,Full-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,Education,Full-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,Education,Full-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,Education,Full-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,Education,Full-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,Education,Full-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,Education,Full-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,Education,Full-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,Education,Full-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,Education,Full-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,Education,Full-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,Education,Full-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,Education,Full-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,Education,Full-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,Education,Full-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,Education,Full-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,Education,Full-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,Education,Full-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,Education,Full-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,Education,Full-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,Education,Full-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,Education,Full-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,Education,Full-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,Education,Full-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,Education,Full-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,Education,Full-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,Education,Full-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,Education,Full-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,Education,Full-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,Education,Full-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,Education,Full-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,Education,Full-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,Education,Full-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,Education,Full-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,Education,Full-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,Education,Full-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,Education,Full-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,Education,Full-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,Education,Full-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,Education,Full-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,Education,Full-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,Education,Full-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,Education,Full-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,Education,Full-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,Education,Full-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,Education,Full-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,Education,Full-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,"Engineering, manufacturing and construction",Full-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,"Engineering, manufacturing and construction",Full-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,"Engineering, manufacturing and construction",Full-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,"Engineering, manufacturing and construction",Full-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,"Engineering, manufacturing and construction",Full-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,"Engineering, manufacturing and construction",Full-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,"Engineering, manufacturing and construction",Full-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,"Engineering, manufacturing and construction",Full-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,"Engineering, manufacturing and construction",Full-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,"Engineering, manufacturing and construction",Full-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,"Engineering, manufacturing and construction",Full-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,"Engineering, manufacturing and construction",Full-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,"Engineering, manufacturing and construction",Full-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,"Engineering, manufacturing and construction",Full-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,"Engineering, manufacturing and construction",Full-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,"Engineering, manufacturing and construction",Full-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,"Engineering, manufacturing and construction",Full-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,"Engineering, manufacturing and construction",Full-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,"Engineering, manufacturing and construction",Full-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,Generic programmes and qualifications,Full-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,Generic programmes and qualifications,Full-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,Health and welfare,Full-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,Health and welfare,Full-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,Health and welfare,Full-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,Health and welfare,Full-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,Health and welfare,Full-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,Health and welfare,Full-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,Health and welfare,Full-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,Health and welfare,Full-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,Health and welfare,Full-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,Health and welfare,Full-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,Health and welfare,Full-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,Health and welfare,Full-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,Health and welfare,Full-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,Health and welfare,Full-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,Health and welfare,Full-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,Health and welfare,Full-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,Health and welfare,Full-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,Health and welfare,Full-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,Health and welfare,Full-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,Health and welfare,Full-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,Health and welfare,Full-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,Health and welfare,Full-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,Health and welfare,Full-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,Health and welfare,Full-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,Health and welfare,Full-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,Information and Communication Technologies (ICTs),Full-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,Information and Communication Technologies (ICTs),Full-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,"Natural sciences, mathematics and statistics",Full-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,"Natural sciences, mathematics and statistics",Full-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,"Natural sciences, mathematics and statistics",Full-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,"Natural sciences, mathematics and statistics",Full-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,"Natural sciences, mathematics and statistics",Full-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,"Natural sciences, mathematics and statistics",Full-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,"Natural sciences, mathematics and statistics",Full-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,"Natural sciences, mathematics and statistics",Full-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,"Natural sciences, mathematics and statistics",Full-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,"Natural sciences, mathematics and statistics",Full-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,"Natural sciences, mathematics and statistics",Full-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,"Natural sciences, mathematics and statistics",Full-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,"Natural sciences, mathematics and statistics",Full-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,"Natural sciences, mathematics and statistics",Full-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,"Natural sciences, mathematics and statistics",Full-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,"Natural sciences, mathematics and statistics",Full-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,"Natural sciences, mathematics and statistics",Full-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,"Natural sciences, mathematics and statistics",Full-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,"Natural sciences, mathematics and statistics",Full-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,"Natural sciences, mathematics and statistics",Full-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,"Natural sciences, mathematics and statistics",Full-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,"Natural sciences, mathematics and statistics",Full-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,"Natural sciences, mathematics and statistics",Full-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,"Natural sciences, mathematics and statistics",Full-time,No,Female,*
